cell_size total_intensity feature_a feature_b feature_c feature_d feature_e feature_f feature_g feature_h class
0.8901176806495215 1.798490146892124 0.8328471569811052 1.6839490995552915 0.13 11.88 67.18 2.21 3.55 -0.73 activated
0.0884843309163823 2.322990859224463 -0.06176570790232652 2.022490781587045 0.85 21.86 423.72 8.63 17.1 0.69 quiescent
2.509049292904953 5.7731460973486755 2.53593873698525 5.82692498550927 0.76 20.69 381.89 7.87 15.51 0.53 quiescent
2.4703491517041014 4.098629063682589 2.706340210150975 4.570611180576336 0.26 13.57 127.53 3.3 5.85 -0.49 quiescent
-0.07228288652059756 2.883769390269415 0.1127267178973807 3.2537885991053717 0.5 16.94 247.72 5.46 10.41 -0.01 quiescent
1.6416485406731307 0.15020884849717908 1.7769415240739772 0.4207948152988722 0.45 16.29 224.75 5.05 9.54 -0.1 activated
1.1844703722509962 0.3188139951735214 1.1752756610052013 0.30042457268193173 0.65 19.12 325.8 6.86 13.38 0.3 activated
1.1940418363781755 2.8077286130369705 1.209112178005693 2.8378692962920056 0.79 21.04 394.36 8.1 15.99 0.58 activated
3.978209547913263 2.378178451372361 3.8389503558964497 2.0996600673387347 0.09 11.31 46.93 1.84 2.78 -0.81 activated
2.4116339186072797 1.6042368281298849 2.4361092818970342 1.6531875547093937 0.03 10.4 14.17 1.26 1.54 -0.94 activated
1.1479691570496358 0.9496090557340758 1.124794997868196 0.903260737371196 0.84 21.7 417.88 8.52 16.88 0.67 activated
0.6283579292203425 4.46013629655237 0.7904009441893002 4.784222326490285 0.43 16.06 216.38 4.89 9.22 -0.13 quiescent
2.1821796141364977 1.2996530233826384 2.0857135658056065 1.1067209267208555 0.76 20.67 381.14 7.86 15.48 0.52 activated
1.1312175042434114 4.681949847050563 1.1893549970012771 4.798224832566295 0.0 10.03 1.05 1.02 1.04 -1.0 quiescent
-0.6376277690114565 4.091047047234421 -0.6027525433654626 4.160797498526409 0.45 16.24 222.69 5.01 9.46 -0.11 quiescent
0.8730512267529372 4.714385829386762 0.7568395599302478 4.481962495741383 0.72 20.1 360.77 7.49 14.71 0.44 quiescent
0.7847825229471443 1.8670603680959479 0.8943259633937801 2.0861472489892194 0.23 13.2 114.38 3.06 5.35 -0.54 activated
-0.7300001120785176 6.25456272268018 -0.8649830087677722 5.98459692930167 0.95 23.23 472.64 9.51 18.96 0.89 quiescent
1.6520905744596983 2.1201087303203643 1.7278836646041615 2.2716949106092907 0.9 22.62 450.71 9.11 18.13 0.8 activated
1.7437149893055053 0.9538290021676823 1.6280394309022743 0.7224778853612205 0.03 10.43 15.29 1.28 1.58 -0.94 activated
0.9480878502078401 4.7321191979788075 0.9204760653390063 4.67689562824114 0.03 10.36 12.72 1.23 1.48 -0.95 quiescent
1.7373078036934886 4.425462343941218 1.9305335830874806 4.811913902729202 0.54 17.58 270.71 5.87 11.29 0.08 quiescent
0.46661789679484156 3.8657130258372034 0.4323455558349534 3.797168343917427 0.94 23.15 469.57 9.45 18.84 0.88 quiescent
0.303809630770544 3.9442341659078486 0.21380575266538865 3.764226409697538 0.38 15.34 190.6 4.43 8.24 -0.24 quiescent
3.938418218489132 -0.4500954012045095 3.8778915751349543 -0.5711486879128653 0.22 13.03 108.3 2.95 5.12 -0.57 activated
0.163123796502041 2.577504725116713 0.20128227474838706 2.653821681609405 0.42 15.91 211.06 4.8 9.02 -0.16 quiescent
0.5889432611385428 4.001484576873055 0.6044816686577459 4.032561391911461 0.03 10.41 14.52 1.26 1.55 -0.94 quiescent
1.9263584960720843 4.152430119150692 1.9093886948864949 4.118490516779513 0.22 13.1 110.85 3.0 5.21 -0.56 quiescent
-1.5767197372875836 4.957405922888751 -1.3848199629241362 5.341205471615646 0.44 16.13 218.94 4.94 9.32 -0.12 quiescent
2.2065607592742156 5.506167176232801 2.246075599932929 5.585196857550228 0.5 16.94 247.91 5.46 10.42 -0.01 quiescent
1.7872641504814974 1.700120055734332 1.7893791935800512 1.7043501419314393 0.23 13.26 116.54 3.1 5.43 -0.53 activated
